start	end	text
0	7000	वनजन गेट समय का सदुपयोग
7000	14000	समय का सदुपयोग जो करता है उसी व्यक्ति को समय के साथ अच्छे परिणाओं मिलते हैं
14000	19000	ऐसा ही हुआ जब सोनू और वानी के एन्यूल एक्जैम्स आने वाले थे
19000	31000	अरे अब तक पढ़ रही हो चलो खाना खाते हैं बस थोड़ा सा प्रोजेक्ट बचा है नहीं किया तो टीचर डाटेंगी और अगले वीक से एक्जैम्स भी तो शुरू हो रहे हैं
31000	61000	वानी बहुत ही महन्ती और समय का सदुप्योग करने वाली बच्ची थी जबकि उसका भाई सोनू बहुत ही लापरवा और शैतान बच्चा था हर काम कल पर टालता था तुम्हारा प्रोजेक्ट हो गया हुँ अभी से प्रोजेक्ट वो तो सिक्स पीरियड में देना है अभ
62000	68000	सोनू और वानी के मम्मी पापा हमेशा सोनू को वानी का उदाहरन दे कर समझाते थे
68000	75000	देखो सोनू बेटा अब तुम बड़े हो गए हुँ खेल के साथ साथ तुम्हे अपनी पढ़ाई पर भी ध्यान देना चाहिए
75000	77000	हाँ मम्मी कल से पक्का
77000	90000	सोनू समय का सदप्योग करना अपनी बेहन से सिखो देखो समय से पढ़ती है समय से खेलती है आज का काम कल पर कभी नहीं टालती
90000	97000	आप देखना मैं भी कल से पक्का ऐसा ही करूँगा अभी जाओ खेलने प्लीज
97000	107000	सोनू की लापरवाही दिन पर दिन बढ़ती ही जा रही थी और आखिरकार एक्जाम्स के दिन भी नज़दिक आ ही गए
107000	111000	सोनू वानी की परिक्षा में अब केवल दो दिन बाखी थे
111000	117000	बच्चो अगले सोमवार से तो तुम दोनों की परिक्षाएं शुरू हो रही है न
117000	129000	खोब मन लगा कर पढ़ो और अच्छे से परिक्षा दो सोनू मुझे तुमारी बहुत चिंता हो रही है बेटा तुम हमेशा आज का काम कल पर टाल देते हो
129000	137000	पढ़ाई कल पर नहीं टालना वानी की तरह सभी पाठ समय से पढ़ लेना ठीक है
137000	151000	अरे पापा परिक्षा में अभी पूरे दो दिन बाकी है मैं जट से पढ़ लूँगा साब कुछ अभी तो मैं खेलने जा रहा हूँ जब तक खेलूँगा नहीं तब तक पढ़ाई भी समझ नहीं आएगी
151000	170000	अरे वानी देखो न कितना सुहाना मौसम हो रहा है आओ न थोड़ी दिर खेल लेते है पढ़ाई तो बाद में भी कर सकते है जट से साब हो जाएगा
170000	185000	हाँ मौसम तो सुहाना है लेकिन मुझे मेरा पाथ पूरा करना है कल परिक्षा है इस मौसम में तो खेलने का मजा ही कुछ और है तुम पढ़ती रहो मैं तो चला खेलने
185000	215000	कुछ दर बाद वाणी ने देखा कि सुहाना मौसिम दिरे दिरे आंधी तुफान का रूप ले रहा है और काले बादल गुमर रहे हैं मानों बारिष कभी भी हो सकती है बारिष का मौसम देख वाणी को चिन्ता होने लगी कि अगर बारिष आगे तो उसका प
215000	219000	बारिश होने वाली है शायद रात को बिजली भी कट जाए
219000	223000	खेलना छोड़ो और आकर अपना पाथ पूरा कर लो
223000	225000	वर्ना कल परिक्षा में क्या लिखोगे
225000	229000	चिंता मत करो वानी अभी तो दोपहरी हो रही है
229000	233000	रात को बैट कर मैं फटाफट सब ख़तम कर लूँगा
233000	239000	बिजली नहीं जाएगी बल्की बारिश के बाद पढ़ने में और मज़ा आएगा
239000	242000	अच्छा मैं जाता हूँ मेरी बैटिंग आ गई
242000	245000	सोनू देर शाम तक खेलता ही रहा
245000	249000	लेकिन उसकी चिंता तब बढ़ी जब अचानक से बारिश शुरू हो गई
249000	264000	सोनू बुरी तरा घब्रा गया और घर लोटा जहां आकर उसने देखा घर पर ही नहीं बल्की पूरे गाओं में बिजली नहीं है ये देखकर सोनू जूर जूर से रोने लगा
264000	281000	कल परीशा में मेरा क्या होगा मैंने तो एक पाठ भी नहीं पढ़ा और अब तो बिजली भी नहीं है मैं तो फेल हो जाओंगा मैंने कहा था ना अपना पाठ समय से पढ़ लो
281000	283280	मैंने तुम्हे एक अपते पहले ही कह दिया था
283920	285600	कि समय पर पढ़ाई कर लेना
285960	288120	लेकिन तुम्हे कभी कुछ समझ में नहीं आता
288800	289480	अब भोगो
290600	292040	सोरी पापा
292320	294120	अब मैं क्या करूँ
294600	299200	काश मैंने साही समय पर ही अपने पाट पढ़ लिया होते
301960	303480	उसे समझ आ गया था
303480	311600	कि उसके लापरवाही के कारण उसके पास अब पढ़ने का समय बचा ही नहीं। रोने से अब कुछ नहीं होगा अब समझ आया
311800	321040	कि सब तुम्हे क्यों समझाते थे अब रोना बंद करो और चलो मेरे साथ मैंने अभी पढ़ाई समय पर ही पूरी कर ली थी
321040	335440	मैं तुम्हे सारा पाथ समझा दूँगी और याद भी करवा दूँगी चलो अगले दिन दोनों बच्चे खुशी खुशी परिक्षा देने गए जो समय का करे सम्मान भविश्व में वो कहला आए महान।
